Date,Open,High,Low,Close,Adj. Close,Volume
2018-08-30,223,228,222,225,225,48793800
2018-08-29,220,223,219,223,223,27254800
2018-08-28,219,221,219,220,220,22776800
2018-08-27,217,219,216,218,218,20525100
2018-08-24,217,217,215,216,216,18476400
2018-08-23,215,217,215,215,215,18883200
2018-08-22,214,216,214,215,215,19018100
2018-08-21,217,217,214,215,215,26159800
2018-08-20,218,219,215,215,215,30287700
2018-08-17,213,218,213,218,218,35427000
2018-08-16,212,214,211,213,213,28500400
2018-08-15,209,211,208,210,210,28807600
2018-08-14,210,211,208,210,210,20748000
2018-08-13,208,211,208,209,209,25869100
2018-08-10,207,209,207,208,208,24611200
2018-08-09,207,210,207,209,208,23469200
2018-08-08,206,208,205,207,207,22525500
2018-08-07,209,210,207,207,206,25587400
2018-08-06,208,209,207,209,208,25425400
2018-08-03,207,209,205,208,207,33447400
2018-08-02,201,208,200,207,207,62404000
2018-08-01,199,202,197,202,201,67935700
2018-07-31,190,192,189,190,190,39373000
2018-07-30,192,192,189,190,189,21029500
2018-07-27,195,195,190,191,190,24024000
2018-07-26,195,196,194,194,194,19076000
2018-07-25,193,195,192,195,194,16709900
2018-07-24,192,194,192,193,192,18697900
2018-07-23,191,192,190,192,191,15989400
2018-07-20,192,192,190,191,191,20676200
2018-07-19,190,193,190,192,191,20286800
2018-07-18,192,192,190,190,190,16393400
2018-07-17,190,192,189,191,191,15534500
2018-07-16,192,193,190,191,190,15043100
2018-07-13,191,192,191,191,191,12513900
2018-07-12,190,191,189,191,190,18041100
2018-07-11,189,190,188,188,187,18831500
2018-07-10,191,191,190,190,190,15939100
2018-07-09,190,191,189,191,190,19756600
2018-07-06,185,188,185,188,187,17485200
2018-07-05,185,186,184,185,185,16604200
2018-07-03,188,188,184,184,183,13954800
2018-07-02,184,187,183,187,187,17731300
2018-06-29,186,187,183,185,184,22737700
2018-06-28,184,186,184,186,185,17365200
2018-06-27,185,187,184,184,184,25285300
2018-06-26,183,187,183,184,184,24569200
2018-06-25,183,185,181,182,182,31663100
2018-06-22,186,186,185,185,184,27200400
2018-06-21,187,188,185,185,185,25711900
2018-06-20,186,187,186,187,186,20628700
2018-06-19,185,186,183,186,185,33578500
2018-06-18,188,189,187,189,188,18484900
2018-06-15,190,190,188,189,188,61719200
2018-06-14,192,192,190,191,190,21610100
2018-06-13,192,193,190,191,190,21638400
2018-06-12,191,193,191,192,192,16911100
2018-06-11,191,192,190,191,191,18308500
2018-06-08,191,192,190,192,191,26656800
2018-06-07,194,194,192,193,193,21347200
2018-06-06,194,194,192,194,193,20933600
2018-06-05,193,194,192,193,193,21566000
2018-06-04,192,193,191,192,191,26132000
2018-06-01,188,190,188,190,190,23250400
2018-05-31,187,188,186,187,186,27482800
2018-05-30,188,188,187,188,187,18690500
2018-05-29,188,189,187,188,187,22369000
2018-05-25,188,190,188,189,188,17461000
2018-05-24,189,189,186,188,187,20401000
2018-05-23,186,189,186,188,188,19467900
2018-05-22,188,189,187,187,187,15240700
2018-05-21,188,189,187,188,187,18400800
2018-05-18,187,188,186,186,186,18297700
2018-05-17,188,189,186,187,186,17294000
2018-05-16,186,188,186,188,188,19183100
2018-05-15,187,187,185,186,186,23695200
2018-05-14,189,190,188,188,187,20778800
2018-05-11,189,190,187,189,188,26212200
2018-05-10,188,190,188,190,189,27989300
2018-05-09,187,187,185,187,186,23211200
2018-05-08,185,186,184,186,185,28402800
2018-05-07,185,188,185,185,184,42451400
2018-05-04,178,184,178,184,182,56201300
2018-05-03,176,178,174,177,176,34068200
2018-05-02,175,178,174,177,175,66539400
2018-05-01,166,169,165,169,168,53569400
2018-04-30,162,167,162,165,164,42427400
2018-04-27,164,164,161,162,161,35655800
2018-04-26,164,166,163,164,163,27963000
2018-04-25,163,165,162,164,162,28382100
2018-04-24,166,166,161,163,162,33692000
2018-04-23,167,167,164,165,164,36515500
2018-04-20,171,171,165,166,165,65491100
2018-04-19,174,175,173,173,172,34808800
2018-04-18,178,179,177,178,177,20754500
2018-04-17,176,179,176,178,177,26605400
2018-04-16,175,176,175,176,175,21578400
2018-04-13,175,176,174,175,173,25124300
2018-04-12,173,175,173,174,173,22889300
2018-04-11,172,174,172,172,171,22431600
2018-04-10,173,174,172,173,172,28408600
2018-04-09,170,173,170,170,169,29017700
2018-04-06,171,172,168,168,167,35005300
2018-04-05,173,174,172,173,172,26933200
2018-04-04,165,172,165,172,170,34605500
2018-04-03,168,169,165,168,167,30278000
2018-04-02,167,169,164,167,165,37586800
2018-03-29,168,172,167,168,167,38398500
2018-03-28,167,170,165,166,165,41668500
2018-03-27,174,175,167,168,167,40922600
2018-03-26,168,173,166,173,172,37541200
2018-03-23,168,170,165,165,164,41028800
2018-03-22,170,173,169,169,168,41490800
2018-03-21,175,175,171,171,170,37054900
2018-03-20,175,177,175,175,174,19649400
2018-03-19,177,177,174,175,174,33446800
2018-03-16,179,179,178,178,177,39404700
2018-03-15,179,180,178,179,177,22743800
2018-03-14,180,181,178,178,177,29368400
2018-03-13,183,184,179,180,179,31693500
2018-03-12,180,182,180,182,180,32207100
2018-03-09,178,180,177,180,179,32185200
2018-03-08,175,177,175,177,176,23774100
2018-03-07,175,176,174,175,174,31703500
2018-03-06,178,178,176,177,175,23788500
2018-03-05,175,178,175,177,176,28401400
2018-03-02,173,176,172,176,175,38454000
2018-03-01,179,180,173,175,174,48802000
2018-02-28,179,181,178,178,177,37782100
2018-02-27,179,180,178,178,177,38928100
2018-02-26,176,179,176,179,178,38162200
2018-02-23,174,176,174,176,174,33812400
2018-02-22,172,174,172,173,171,30991900
2018-02-21,173,174,171,171,170,37471600
2018-02-20,172,174,171,172,171,33930500
2018-02-16,172,175,172,172,171,40176100
2018-02-15,170,173,169,173,172,51147200
2018-02-14,163,168,163,167,166,40644900
2018-02-13,162,165,162,164,163,32549200
2018-02-12,159,164,158,163,162,60819500
2018-02-09,157,158,150,156,155,70672600
2018-02-08,160,161,155,155,153,54390500
2018-02-07,163,163,159,160,158,51608600
2018-02-06,155,164,154,163,161,68243800
2018-02-05,159,164,156,156,155,72738500
2018-02-02,166,167,160,161,159,86593800
2018-02-01,167,169,167,168,166,47230800
2018-01-31,167,168,167,167,166,32478900
2018-01-30,166,167,165,167,165,46048200
2018-01-29,170,170,167,168,166,50640400
2018-01-26,172,172,170,172,170,39143000
2018-01-25,175,175,171,171,169,41529000
2018-01-24,177,177,173,174,172,51105100
2018-01-23,177,179,177,177,175,32689100
2018-01-22,177,178,177,177,175,27108600
2018-01-19,179,180,177,178,176,32425100
2018-01-18,179,180,178,179,177,31193400
2018-01-17,176,179,175,179,177,33888500
2018-01-16,178,179,176,176,174,29565900
2018-01-12,176,177,176,177,175,25418100
2018-01-11,175,175,174,175,173,18667700
2018-01-10,173,174,173,174,172,23959900
2018-01-09,175,175,173,174,172,21584000
2018-01-08,174,176,174,174,172,20567800
2018-01-05,173,175,173,175,173,23660000
2018-01-04,173,173,172,173,171,22434600
2018-01-03,173,175,172,172,170,29517900
2018-01-02,170,172,169,172,170,25555900
